rank,title,author,rating,reviews,price,url,description,publisher,publication_date
52,The Crown of Gilded Bones (Blood And Ash Book 3),Jennifer L. Armentrout,4.6,70232.0,,/Crown-Gilded-Bones-Blood-Book-ebook/dp/B08NS24X2T/ref=zg_bs_g_6190484011_d_sccl_2/134-1708754-9990356?psc=1,"From #1 New York Times bestselling author Jennifer L. Armentrout comes book three in her Blood and Ash series. She's been the victim and the survivor… Poppy never dreamed she would find the love she’s found with Prince Casteel. She wants to revel in her happiness but first they must free his brother and find hers. It’s a dangerous mission and one with far-reaching consequences neither dreamed of. Because Poppy is the Chosen, the Blessed. The true ruler of Atlantia. She carries the blood of the King of Gods within her. By right the crown and the kingdom are hers. The enemy and the warrior… Poppy has only ever wanted to control her own life, not the lives of others, but now she must choose to either forsake her birthright or seize the gilded crown and become the Queen of Flesh and Fire. But as the kingdoms’ dark sins and blood-drenched secrets finally unravel, a long-forgotten power rises to pose a genuine threat. And they will stop at nothing to ensure that the crown never sits upon Poppy’s head. A lover and heartmate… But the greatest threat to them and to Atlantia is what awaits in the far west, where the Queen of Blood and Ash has her own plans, ones she has waited hundreds of years to carry out. Poppy and Casteel must consider the impossible—travel to the Lands of the Gods and wake the King himself. And as shocking secrets and the harshest betrayals come to light, and enemies emerge to threaten everything Poppy and Casteel have fought for, they will discover just how far they are willing to go for their people—and each other. And now she will become Queen…",Blue Box Press,"April 20, 2021"
53,How To Tell If Your K-9 Is A Demon: A Paranormal Romantic Comedy,Trista Ricketts,4.5,379.0,,/How-Tell-Your-K-9-Demon-ebook/dp/B0GCPQH68P/ref=zg_bs_g_6190484011_d_sccl_3/134-1708754-9990356?psc=1,"She went to adopt a K-9 partner. She did not mean to adopt a demon. Officer Kelly “Chuck” Charles thought choosing her new K-9 would be straightforward. Obedient. Loyal. Not possessed by ancient evil. She was wrong. Her new K-9 partner growls in dead languages, smirks like he’s plotting world domination, and reacts to holy water like it personally insulted his ancestors. Because Malachi isn’t just a dog. He’s a centuries-old demon trapped in a canine body — morally black, dangerously clever, and very annoyed about it. The problem? Chuck doesn’t know any of that yet. She’s just a cop trying to survive long shifts, bad coffee, and a partner who may or may not be judging her soul. She definitely doesn’t know she’s part angel. And she absolutely isn’t prepared for the supernatural chaos headed straight for her life. When a well-meaning witch gives Malachi his body back, everything goes from “weird dog behavior” to full-blown celestial disaster. Redeem him. Banish him. Or fall for the demon who was never meant to have a heart. How To Tell If Your K-9 Is A Demon is a laugh-out-loud paranormal romantic comedy packed with: Accidental demon adoption Snarky banter and slow-burn tension A morally black demon with opinions A strong female cop who didn’t sign up for destiny Celestial Hijinks If you love paranormal rom-coms with heart, humor, and just enough hellfire — this book will have you laughing, swooning, and side-eyeing every dog you meet. Read less",,"February 6, 2026"
54,Mate,Ali Hazelwood,,29773.0,,/Mate-Ali-Hazelwood-ebook/dp/B0DY3SL9FW/ref=zg_bs_g_6190484011_d_sccl_4/134-1708754-9990356?psc=1,"The instant #1 New York Times bestseller! A Human hybrid and an Alpha Were claw against the bonds of fate in the highly anticipated companion novel to the New York Times bestselling Bride. Serena Paris is orphaned, pack-less, and one of a kind. Coming forward as the first Human-Were hybrid was supposed to heal a centuries-long rift between species. Instead, it made her a target, prey to the ruthless political machinations between Weres, Vampyres, and Humans. With her enemies closing in on her, she has only one option left—if he’ll have her. As Alpha of the Northwest pack, Koen Alexander commands obedience. His authority is so absolute, only a fool would threaten his mate. It doesn’t matter if Serena doesn’t reciprocate his feelings, nothing will stop him from keeping her safe. But power-hungry Vampyres and Weres are not the only threats chasing Serena. Sooner or later, her past is bound to catch up with her—and Koen might be the only thing standing between her and total annihilation… Read less",Berkley,"October 7, 2025"
55,Eclipsed Heart (Twisted Fate Trilogy Book 2),Jen L. Grey,4.4,7569.0,,/Eclipsed-Heart-Twisted-Fate-Trilogy-ebook/dp/B0CGK3B64M/ref=zg_bs_g_6190484011_d_sccl_5/134-1708754-9990356?psc=1,"Fate made a mistake that we may never recover from. For seventeen years, I was the outcast of the Northwest Territory— the only wolf shifter who couldn’t shift or connect with the pack. Seen as worthless and weak. Leaving was my only escape. But everything changed the day I met Bodey, my sexy fated mate. With him by my side, magic surges through my veins, making me stronger than anyone. When marked queen, I wasn't ready for the throne... or the enemies brought with it. To protect my new pack, I must become a force that no one expects from me. Failure isn't an option; defeat means death. For Bodey and my pack, I'll challenge Fate herself. Dive into this pulse-pounding tale of power, passion, and peril—a romance story of fated mates, brooding alpha males, and royal wolf shifters that will leave you breathless.","Grey Valor Publishing, LLC","October 19, 2023"
56,Her Irish Dragons (Irish Shifters Book 3),Theodora Taylor,,19.0,,/Her-Irish-Dragons-Shifters-Book-ebook/dp/B0FBSF6G1G/ref=zg_bs_g_6190484011_d_sccl_6/134-1708754-9990356?psc=1,"I'm dying for Her Irish Dragons after that Irish Bears cliffhanger! ""I will never forgive this author for the cliffhanger at the end of Her Irish Bears."" ""One star! I loved Irish Bears—but that cliffhanger!"" —Author interpretation of several reviews The highly anticipated FINAL book in the Irish Shifters trilogy is finally HERE! Go to Ireland, they said. It can only be you, they said. It'll be fun. Okay, okay, the king and queen of the Scottish Wolves didn't say that fun part. But I’m still trying to figure out why they’re sending me, a broke, recently unemployed, stuck-back-in-her-childhood-bedroom-opposite-of-a-diplomat she-wolf, to broker peace between them and the Irish Wolves. The Irish Bears hosting the summit specifically requested me, and they refuse to explain why they insisted it couldn't be anyone else. Then I get shoved into a lake. A lake that turns out to be a fating portal. A portal that shoots me thousands of years into the past. So, y’know, now I really have to ask… Was I invited to Ireland? Or summoned there by three emerald-colored beasts who will do anything—and I cannot stress the italics on this hard enough, any-truly-epic-thing —to claim me as theirs. Forever. Three dragon gods. One innocent named Dorie. A prophecy that will change everything. Read less",etCH Entertainment,"March 7, 2026"
57,The Ice Tyrant's Fated Mate (Hollow Earth Ice Dragons Book 1),Riley Storm,4.5,194.0,,/Tyrants-Fated-Hollow-Earth-Dragons-ebook/dp/B0GKYZRQC5/ref=zg_bs_g_6190484011_d_sccl_7/134-1708754-9990356?psc=1,"In the Ice Kingdom the strong rule, and the weak end up in cages. At the top are the Elites, cruelest and most powerful of all dragons. Below everyone else are my besties and I. The Wing-Clipped. Dragons too weak to shift or be claimed by a mate. We’re who the cages and illegal markets were made for. Until the man with green eyes who smells like forever awakens my dormant dragon. It should be impossible. It is impossible. Because Clippys don’t have fated mates. Ever. Everyone knows that. Everyone except my dragon. She’s staking this one out as hers, and she doesn’t care what he or I think. It only gets worse when I discover who she calls our mate. Somehow she’s decided the Ice Tyrant is all ours. The strongest, most ruthless dragon in Hollow Earth … and me? Never gonna happen. Even if I had a dragon to shift into, and even if I could claim another as my mate, it would never be him. Not just because it’s his kingdom and his rules that put me in this cage. But because he left me to rot in it… Casimir My kingdom isn’t ready for me to claim her. I am. Civil war and threats to my throne? That's nothing compared to bonding with my mate. I’ll destroy anyone who threatens her or our future. But before we can have eternity, I'll have to win her over and show her I’m not what the legends say. Somehow. Because hiding at the center of every rumor, there’s a dark truth… *** The Ice Tyrant’s Fated Mate is a full-bodied shifter romance with a HEA, perfect for fans of: Fated Mates (But not insta-love) Dragon Shifters IYTHIKY Protective Alpha vibes A generous helping of growls A dash of forbidden romance A hint of dragon kingdoms Read less",High House Press,"February 9, 2026"
58,The War of Two Queens (Blood And Ash Book 4),Jennifer L. Armentrout,4.4,58280.0,,/War-Two-Queens-Blood-Book-ebook/dp/B0992Y537S/ref=zg_bs_g_6190484011_d_sccl_8/134-1708754-9990356?psc=1,"War is only the beginning… From #1 New York Times bestselling author Jennifer L. Armentrout comes book four in her Blood and Ash series. From the desperation of golden crowns… Casteel Da’Neer knows all too well that very few are as cunning or vicious as the Blood Queen, but no one, not even him, could’ve prepared for the staggering revelations. The magnitude of what the Blood Queen has done is almost unthinkable. And born of mortal flesh… Nothing will stop Poppy from freeing her King and destroying everything the Blood Crown stands for. With the strength of the Primal of Life’s guards behind her, and the support of the wolven, Poppy must convince the Atlantian generals to make war her way—because there can be no retreat this time. Not if she has any hope of building a future where both kingdoms can reside in peace. A great primal power rises… Together, Poppy and Casteel must embrace traditions old and new to safeguard those they hold dear—to protect those who cannot defend themselves. But war is only the beginning. Ancient primal powers have already stirred, revealing the horror of what began eons ago. To end what the Blood Queen has begun, Poppy might have to become what she has been prophesied to be—what she fears the most. As the Harbinger of Death and Destruction. Read less",Blue Box Press,"March 15, 2022"
59,Fated to the Feral Wolf: A Fated Mates Wolf Shifter Paranormal Romance (The Hunted Omegas Book 2),April L. Moon,4.4,15323.0,,/Fated-Feral-Wolf-Shifter-Paranormal-ebook/dp/B0CQQFZ28W/ref=zg_bs_g_6190484011_d_sccl_9/134-1708754-9990356?psc=1,"I never would have seen him coming, not in a million years. Feral. Growling. Terrifying. Until my wolf claimed him as hers. Shay I'm a lot of things; a loyal best friend, music lover, introvert. All labels I'd happily claim as mine. Survivor of abuse, I'll claim because it's true, and I'm a survivor. But fated mate? That one feels like an ill-fitting glove. Especially when said mate has been feral for years, and nobody knows what sent him over the edge, let alone how to get him back. But there's no denying my wolf, and she wants him. So what's a girl to do? Bathe the stinky wolf if he's going to sneak into my bed and then play him Mozart until dawn. Obviously . But a fated mate connection is a once in a lifetime bond. And if he can't turn back into a man . . . will I be alone forever, even with him at my side? Dirge I've been on the run for so many years, I don't remember how to be a man, not really. But Shay calls to that part of me, the part I hid away so long ago. She's everything a man could want. Gorgeous, intelligent, and funny, all wrapped into a stunning, shyly sweet package. There's nothing under the moon I want more than to hold her in my arms. That's the problem, though; if I give into the urge, if I change back and take her as mine . . . I sign her death warrant. The fates have foretold it, and the only way I can save her is to never go back, no matter how badly it hurts. To save her, I have to stay a wolf. ★★★★★ If you love: Feral Wolf Shifters Fated Mates (but not insta-love) Touch Her and 🔪 ✨ Vibes ✨ She Has Powers Supportive Besties Total Acceptance for Her Past This is the book for you! ★★★★★ Each book in this series contains an HEA for the main couple, but with an overarching series plot until the world is complete. Read less",Thigpen-Gandy Publishing,"July 23, 2024"
60,Fearless Bond (Bears of Beauville Book 1),Roe Horvat,4.2,1082.0,,/Fearless-Bond-Bears-Beauville-Book-ebook/dp/B0DK1T1XPT/ref=zg_bs_g_6190484011_d_sccl_10/134-1708754-9990356?psc=1,"Calvin When my ex kicks me out of the car in the middle of nowhere, I’d rather freeze than wait for him to come back. I hike through the snowy forest, aiming for a tiny mountain town I know nothing about. I’m losing my strength when a guy on a four-wheeler finds me, wraps me in a parka, and brings me to his home. He’s huge and scary-looking, but the longer he lets me stay, the more I like him. Under his grumpy façade, Barclay Black is a teddy bear. Barclay Bear shifters don’t hibernate, but sometimes I wish we could. The upcoming winter has made me cranky. I come off a bit harsh when I find a human stumbling through the forest, because who goes hiking in the snow without proper gear? The poor omega isn’t a tourist, though. Calvin needs a place to stay and someone to protect him, and before I can question myself, he has me wrapped around his little finger. I keep telling myself that he’s vulnerable and too young for me… until I realize he wants me, too. . Fearless Bond is an MM omegaverse romance featuring bear shifters, fated mates, and mpreg. Read less",,"November 12, 2024"
61,Her Soul to Take (Souls Trilogy),Harley Laroux,4.4,41464.0,,/Her-Soul-Take-Souls-Trilogy-ebook/dp/B08WJHGH2T/ref=zg_bs_g_6190484011_d_sccl_11/134-1708754-9990356?psc=1,"Killer, they called me, and killing is what I'm best at. Except her. The one I was supposed to take, the one I should have killed - I didn't. The cult that once controlled me wants her, and I'm not about to lose my new toy to them. Rae I've always believed in the supernatural. Hunting for ghosts is my passion, but summoning a demon was never part of the plan. Monsters are roaming the woods, and something ancient - something evil - is waking up and calling my name. I don't know who I can trust, or how deep this darkness goes. All I know is my one shot at survival is the demon stalking me, and he doesn't just want my body - he wants my soul. Her Soul to Take is book 1 in the Souls Trilogy. Each book within the Souls Trilogy is interconnected, following a different couple through a similar timeline in the fictional world of Abelaum. Content Note This book contains sexual scenes, kink/fetish content, horror elements, drug use, and depictions of hard kink/edgeplay. Please see the book preview for complete CW.",,"April 10, 2021"
62,Witches With Benefits (A Nightshade Detective Agency Cozy Mystery Book 1),Amanda M. Lee,4.7,1846.0,,/Witches-Benefits-Nightshade-Detective-Mystery-ebook/dp/B0FCDS2SSG/ref=zg_bs_g_6190484011_d_sccl_12/134-1708754-9990356?psc=1,"Freya Holmes is unique in an already eccentric city. New Orleans may be a paranormal mecca but even in a world where every type of shifter and witch is commonplace, a vampire-witch hybrid is something to worship … and fear. Freya has never been interested in her parents’ opulent world. She finds her power in magic, which is why she formed Nightshade Detective Agency in the first place. She’s interested in helping people … even when that help might come at the cost of her life. Knox Cullen grew up on the poor side of New Orleans. His shifter genes allowed him to climb out of poverty and embrace a certain lifestyle as a paranormal bounty hunter. He can take a punch and throw one. He’s not ready for Freya, though. When a local mobster ends up dead and the culprit appears to be a supernatural assassin, both Freya and Knox are on the case. Unfortunately, they have no intention of working together and two hard heads don’t make for a soft landing. Freya has her hands full. In addition to Knox, who is hiding something big, there’s a paranormal investigation unit seeking a partnership that takes advantage of her hard work and their impressive reach. The Legacy Foundation has quite the reputation, as do the two people—Charlie and Jack—who approach her with an offer she might not be able to refuse. Can she trust them? Can she trust anybody? The clock is ticking. Freya needs to save the French Quarter. Sadly, she might lose herself in the process.",WinchesterShaw Publications,"February 3, 2026"
63,Blood Oath: A Paranormal Reverse Harem Romance (Cursed Legacies Book 1),Morgan B Lee,,20219.0,,/Blood-Oath-Paranormal-Reverse-Legacies-ebook/dp/B0CRTHWGQS/ref=zg_bs_g_6190484011_d_sccl_13/134-1708754-9990356?psc=1,"Everbound University is the mandatory graduate school for anything that goes bump in the night. Not going isn’t an option, unless you want to be hunted down for illegally inhabiting the mortal world. All legacies—the descendants of the Four Houses—are required to attend because we’re all cursed, and the only way to break our curses is through binding our hearts in a quintet. Becoming part of a quintet is a dream come true. Destiny fulfilled. A gods-given, merciful blessing. For me, it’s a hard pass. I can’t be bound to anyone else. Trust me, it wouldn’t end well. So when I’m placed in a quintet, I promptly reject all four of my matches for their own good. But these powerful, gorgeous, high-profile legacies have no idea how to handle rejection, because… The cutthroat blood fae shows me his soft side. The charming dragon shifter won't leave me alone. The unhinged nightmare prince calls me darling. And the gorgeous ice elemental is as overprotective as he is cold. They're the kind of deadly perfection that draws attention. Which is exactly what I'm trying to avoid, since no one can know my secret. I'll do whatever it takes to make them decide I’m not worth the chase. The problem is, no matter what I do to make them hate me, it only seems to have the opposite effect… This is a why choose/reverse harem paranormal romance. If you like fated mates, multiple POV, a variety of possessive guys who are unhinged for their girl, and an equally broken but determined FMC, this series is for you. Intended for 18+ readers due to strong language, violence, dark themes, and explicit sex scenes including group sex (no M/M). Please read the TW. No AI content here. Book 1 of 4.",,"March 1, 2024"
64,Crowned by the Enemy Vampire,Michele Mills,4.4,286.0,,/Crowned-Enemy-Vampire-Michele-Mills-ebook/dp/B0G3Y1RBHF/ref=zg_bs_g_6190484011_d_sccl_14/134-1708754-9990356?psc=1,"I’ve had a crush on the vampire king since I was fourteen years old. That poster came down years ago, obviously. I’m a grown woman now, saddled with a useless degree and fifty-seven thousand dollars in student debt. So when I take a high-paying job as a maid in the Krovenian royal castle, I definitely don’t expect to be assigned to clean the King’s private chambers. The same king I called an “arrogant, condescending asshole” on my third day of work. And instead of firing me, he requested me as his personal maid. Something doesn’t add up. He’s cold, criticizes my dusting and calls humans stupid. But his people adore him, and every time he catches me looking, his fangs extend and his eyes go dark. Then I discover the truth…and walk into a snowstorm to save him from myself. He carries me back. “You’re my mate,” he growls. “No, I’m... I’m your maid,” I whisper. His eyes flash pure black. “Not anymore.” Glamour. Intrigue. Desire hot enough to burn down a palace. These possessive princes and kings won’t settle for just any woman. They want their queen. The one true love who can bring these powerful royals to their knees. New standalone stories by your favorite best-selling steamy romance authors, Hope Ford, Olivia T. Turner, and Michele Mills. A crown has never been so sinful. **We’re back for 2026! Have you read the previous “seasons”? Devour them while you wait!:) Go back to Season 1 - Highest Bidder: #1 Auctioned to the Alien Beast by Michele Mills #2 Auctioned to the Grizzly Shifter by Olivia T. Turner #3 Auctioned to the Lumberjack by Hope Ford #4 Auctioned to the Pack Alpha by Olivia T. Turner #5 Auctioned to the Cowboy by Hope Ford #6 Auctioned to the Tusk Warrior by Michele Mills #7 Auctioned to the Mountain Man by Hope Ford #8 Auctioned to the Kodiak Shifter by Olivia T. Turner #9 Auctioned to the Alien Boss by Michele Mills Season 2 - Marooned for a Night: #1 Stranded with the Ravenous Shifter by Olivia T. Turner #2 Stranded with the Grumpy Cowboy by Hope Ford #3 Stranded with an Alien Vampire by Michele Mills #4 Stranded with a Dirty Talking Shifter by Olivia T. Turner #5 Stranded with a Bossy Rancher by Hope Ford #6 Stranded with a Silver Vampire by Michele Mills #7 Stranded with an Insatiable Shifter by Olivia T. Turner #8 Stranded with a Very-Kissable Cowboy by Hope Ford #9 Stranded with a Wounded Vampire by Michele Mills Season 3 – Heat & Ink: #1 Marked by the Possessive Biker by Hope Ford #2 Marked by the Wild Orc by Michele Mills #3 Marked by the Grouchy Grizzly by Olivia T. Turner #4 Marked by the Possessive Polar Bear by Olivia T. Turner #5 Marked by the Protective Biker by Hope Ford #6 Marked by the Scarred Orc by Michele Mills #7 Marked by the Broken Orc by Michele Mills #8 Marked by the Filthy-Mouthed Grizzly by Olivia T. Turner #9 Marked by the Obsessed Biker by Hope Ford Read less",,"February 24, 2026"
65,Raw: A Rejected Mate Omegaverse,Kayleigh King,4.1,1443.0,,/Raw-Rejected-Omegaverse-Kayleigh-King-ebook/dp/B0GHJM1JR6/ref=zg_bs_g_6190484011_d_sccl_15/134-1708754-9990356?psc=1,"From USA Today Bestselling Author Kayleigh King comes the next angsty installment in a fated mate shifter omegaverse series. ""An Alpha's loyalty to his pack should be second to only one. His mate."" NOA Blood stains the walls of my sanctuary, and nothing feels safe anymore. The enemy finally has a face, but every truth uncovered leaves me with more questions. While danger closes in, I’m rotting from the inside. Dying from my mate’s rejection. Rennick swears he’ll fix what he broke. But how do I trust the Alpha who already shattered my heart? RENNICK I was made to protect her, but I was the one who ruined her. Now I’ll burn every alliance and sacrifice everything to mend what I destroyed. Noa’s trust doesn’t come easily, not when her heart still carries the scars of my betrayal. But time is running out. Her body is failing. Our people are being hunted. And the bond I fractured is the only thing strong enough to hold her here. What to Expect: -Rejected Fated Mate/Scent Match -Second Chance/Grovel -First Heat & Nest -Protective Alpha -Rejected Mate Syndrome -Unique Magic System -Angst/You Might Cry a Little NOTE: RAW is not a standalone. It is book two in Rennick and Noa’s duet and must be read after PRIMAL for the story to be fully understood. This is a slow-burn, second-chance romance where the MMC must fight for his mate’s forgiveness. Their HEA does not come easily, but it is guaranteed. *All TW/CW will be available on the author's website. *Updated Manuscript with additional edits uploaded 2.2.26",,"January 18, 2026"
66,Bride,Ali Hazelwood,4.4,62977.0,,/Bride-Ali-Hazelwood-ebook/dp/B0C9GQV1TT/ref=zg_bs_g_6190484011_d_sccl_16/134-1708754-9990356?psc=1,"#1 Indie Next Pick! A Hall of Fame LibraryReads pick! One of People’s Best Books to Read in February A dangerous alliance between a Vampyre bride and an Alpha Werewolf becomes a love deep enough to sink your teeth into in this new paranormal romance from the #1 New York Times bestselling author of Love, Theoretically and The Love Hypothesis. Misery Lark, the only daughter of the most powerful Vampyre councilman of the Southwest, is an outcast—again. Her days of living in anonymity among the Humans are over: she has been called upon to uphold a historic peacekeeping alliance between the Vampyres and their mortal enemies, the Weres, and she sees little choice but to surrender herself in the exchange—again... Weres are ruthless and unpredictable, and their Alpha, Lowe Moreland, is no exception. He rules his pack with absolute authority, but not without justice. And, unlike the Vampyre Council, not without feeling. It’s clear from the way he tracks Misery’s every movement that he doesn’t trust her. If only he knew how right he was…. Because Misery has her own reasons to agree to this marriage of convenience, reasons that have nothing to do with politics or alliances, and everything to do with the only thing she's ever cared about. And she is willing to do whatever it takes to get back what’s hers, even if it means a life alone in Were territory…alone with the wolf. Read less",Berkley,"February 6, 2024"
67,Brownies for My Grumpy Bunny: A Cozy Monster Romance (Fairhaven Falls),Honey Phillips,4.6,700.0,,/Brownies-My-Grumpy-Bunny-Fairhaven-ebook/dp/B0FZ6T7DQB/ref=zg_bs_g_6190484011_d_sccl_17/134-1708754-9990356?psc=1,"Sara Cartwright came to Fairhaven Falls for a fresh start—quiet mornings, kind neighbors, and maybe a few furry friends hopping through her garden. She wasn’t expecting her next-door neighbor to be six-foot-plus of scowling muscle and twitching ears. Ben Hollowell likes his peace, his pub, and his solitude. The last thing he needs is a relentlessly cheerful kindergarten teacher moving in next door with flower boxes, laughter, and curves that make his pulse race. But when Sara’s warmth starts melting his defenses—and her brownies start showing up at his door—Ben finds himself craving things he swore he didn’t need. Will spring in Fairhaven Falls turn out to be mating season for the most reluctant of bunnies?",,"February 22, 2026"
68,Hidden Within the Secret Heart (Desperate Disguise Book 4),Tessa Cole,4.1,267.0,,/Hidden-Within-Secret-Desperate-Disguise-ebook/dp/B0DZJ1TZFB/ref=zg_bs_g_6190484011_d_sccl_18/134-1708754-9990356?psc=1,"Trapped between two worlds and safe in neither… Crane escaped justice, and now he’s hunting me through the High Priestess’s court. I’m trapped in the Divine Residence, spirit-linked to a knight I don’t trust, and the newest plaything to the most powerful woman in the fae realm. I can’t refuse her demands, can’t stop manifesting in the Garden when I go to bed, and can’t reveal that my mating marks have been put to sleep… or that I’m human. To make matters worse, the novices tormenting me in the Black Tower have gone eerily silent. They’re planning something and I’m afraid I won’t survive their retribution. On top of that, the leaders of the Black Guard have sworn to protect me while I’m in the Garden: the fierce Lord Commander Rider, the charming Lord Quill, and the beautiful Talon. But I can’t forget how they turned their backs on me when I needed them most in the Gray, and it’s difficult to remember what I should and shouldn’t know about them to keep my secrets. Everything is getting more complicated, and I yearn for the one person who makes me feel safe, who I can trust. Ash. Except he’s been banned from the Divine Residence and I’ve no way of getting to him. It’s too soon for it to all fall apart. If I can’t survive the novices’ revenge, the High Priestess’s games, and the predator hunting me, my sacrifice to save my brother will have been for nothing… *Hidden Within the Secret Heart is the fourth book in a fantasy romance series with a determined heroine and hot dangerous men. This romantasy is a slow burn, steamy, girl disguised as a man story that takes place in a magical world of kingdoms and shadowy monsters and is filled with fast-paced action.*",Gryphon's Gate Publishing,"March 3, 2026"
69,A Light in the Flame: A Flesh and Fire Novel,Jennifer L. Armentrout,4.7,34088.0,,/Light-Flame-Flesh-Fire-Novel-ebook/dp/B09YMS96FN/ref=zg_bs_g_6190484011_d_sccl_19/134-1708754-9990356?psc=1,"From #1 New York Times bestselling author Jennifer L. Armentrout comes book two in her Flesh and Fire series… The only one who can save Sera now is the one she spent her life planning to kill. The truth about Sera's plan is out, shattering the fragile trust forged between her and Nyktos. Surrounded by those distrustful of her, all Sera has is her duty. She will do anything to end Kolis, the false King of Gods, and his tyrannical rule of Iliseeum, thus stopping the threat he poses to the mortal realm. Nyktos has a plan, though, and as they work together, the last thing they need is the undeniable, scorching passion that continues to ignite between them. Sera cannot afford to fall for the tortured Primal, not when a life no longer bound to a destiny she never wanted is more attainable than ever. But memories of their shared pleasure and unrivaled desire are a siren's call impossible to resist. And as Sera begins to realize that she wants to be more than a Consort in name only, the danger surrounding them intensifies. The attacks on the Shadowlands are increasing, and when Kolis summons them to Court, a whole new risk becomes apparent. The Primal power of Life is growing inside her, pushing her closer to the end of her Culling. And without Nyktos's love—an emotion he's incapable of feeling—she won't survive her Ascension. That is if she even makes it to her Ascension and Kolis doesn't get to her first. Because time is running out. For both her and the realms.",Blue Box Press,"November 15, 2022"
70,Fated to the Scarred Wolf: A Fated Mates Wolf Shifter Paranormal Romance (The Hunted Omegas Book 5),April L. Moon,,4384.0,,/Fated-Scarred-Wolf-Shifter-Paranormal-ebook/dp/B0F4L1KV2F/ref=zg_bs_g_6190484011_d_sccl_20/134-1708754-9990356?psc=1,"She was my angel, and I was her devil. Maybe that's how it was always meant to be . Lucien The quiet little healer? She can't be my mate. My wolf was desperate—we were dying. Poisoned. Tortured. It's the only explanation. But when I wake up, she's there at my side, and my wolf is nearly feral trying to get to her, stake his claim on her. But I push her away, because it's all too much, too soon. I'm not worthy of a mate. Especially not now that I'm scarred. I'm too broken, too ugly, too mean. Anything good in me was burned out a long time ago. No, she's better off without me. Now I just have to convince my wolf to let her go. Olivia I've watched him from afar, certain he never noticed me. So when he grabs my arm and declares me his mate, I'm more than shocked. I'm shaken to my core. Seconds after declaring me his, he passes out from the torture, and I'm once again left to wonder if this is all some kind of dream. Or more likely, a nightmare. But I can't focus on my mixed-up feelings, because I've got to save his life to have a chance at finding out if any of this is real. His body is broken and battered, and it's going to take every skill I've got to bring him back from the brink. Even the skills that scare me. ★★★★★ If you love: Wolf Shifters Reformed Bad Boys Fated Mates (but definitely not insta-love) Damaged Heroes Overprotective MMC ✨ Vibes ✨ A she-comes-into-her-powers arc Found Family & Supportive Besties This is the book for you! This book contains a HEA for our main couple. The story arc spans multiple books, but each one contains a new couple and a new romance, while still bringing in familiar faces until our world's problems are solved. Read less",Thigpen-Gandy Publishing,"October 21, 2025"
71,Chosen Destiny (Twisted Fate Trilogy Book 3),Jen L. Grey,4.4,6265.0,,/Chosen-Destiny-Twisted-Fate-Trilogy-ebook/dp/B0CJ7GFBHG/ref=zg_bs_g_6190484011_d_sccl_21/134-1708754-9990356?psc=1,"Fate has once again torn my world apart, leaving me shattered. For years, I've lived with a cold void, clueless about my life before joining my childhood pack. Just as the secrets of my past were about to be unveiled, tragedy struck. The one person who held the key to unlocking my memories was taken from me, and with them, my fated mate, Bodey—leaving me exposed and fractured. But in this darkness, an unexpected truth emerges. The very act that was meant to weaken me has instead awakened a fierce strength. A primal wolf, hidden deep within, surges forward, driven by a relentless desire to rescue Bodey and protect my people. My resolve is unyielding—I will do whatever it takes to reclaim my mate and keep my people safe. Even if it means walking into the jaws of danger. The battle lines are drawn, and I'm ready to fight everyone that’s screwed me over. Get this steamy and suspenseful forced proximity, touch her and unalive, broody male, fated mates, royal wolf shifter romance today! Read less","Grey Valor Publishing, LLC","December 7, 2023"
72,Born of Blood and Ash: A Flesh and Fire Novel,Jennifer L. Armentrout,4.4,15374.0,,/Born-Blood-Ash-Flesh-Novel-ebook/dp/B0CFM9PSV7/ref=zg_bs_g_6190484011_d_sccl_22/134-1708754-9990356?psc=1,"The line between love and obsession has never been wider. While Sera is finally free of Kolis and back with those she loves, not everything is calm. Memories of all she’s endured still haunt her, but Sera finally has hope for a future with the other half of her heart and soul. Nyktos desires, loves, and accepts every part of her—even the monstrous bits she still battles. More than ever, Sera and Ash have everything under the realms to fight for, and Nyktos has no doubt Sera is fit to be the Queen of the Gods. But she must find that faith within herself if they hope to convince the other Courts to support them against Kolis and make Iliseeum and the mortal realm better, safer places for all. But as Sera begins to piece together the importance of her bloodline and the true meaning behind the foreboding prophecy, it becomes clear that everything that has happened and is yet to come is much bigger than Kolis and his dark obsessions. They cannot help but wonder exactly how much influence the Fates have had and what their ultimate goal is. What Sera does know for sure is that they can trust very few—including her. A battle between the gods is brewing, and heartbreaking losses are imminent with the true Primal of Death strengthening. With a family of the heart willing to battle by their side, can Sera and Nyktos stop Kolis before he destroys the realms, or will it all disappear in a fiery inferno of blood and ash? And the line between justice and vengeance has never been so thin.",Blue Box Press,"August 13, 2024"
